month,diesel_avg,hvo_avg
2022-01,12.81,23.13
2022-02,13.33,24.16
2022-03,15.69,26.68
2022-04,15.49,26.87
2022-05,16.02,27.86
2022-06,17.71,29.63
2022-07,16.8,29.09
2022-08,16.19,28.72
2022-09,15.9,29.28
2022-10,17.08,30.53
2022-11,15.95,29.07
2022-12,14.55,27.0
2023-01,15.08,27.16
2023-02,14.26,26.18
2023-03,13.95,26.11
2023-04,13.42,15566.67
2023-05,12.74,23.63
2023-06,12.99,23.13
2023-07,13.4,23.24
2023-08,14.41,24.41
2023-09,14.88,25.25
2023-10,14.7,25.21
2023-11,13.94,24.26
2023-12,13.54,23.57
2024-01,14.08,23.6
2024-02,14.38,23.1
2024-03,13.97,20.92
2024-04,14.04,20.94
2024-05,13.83,20.62
2024-06,13.96,20.57
2024-07,14.09,20.7
2024-08,13.5,20.09
2024-09,13.02,19.54
2024-10,13.35,19.86
2024-11,13.55,19.55
2024-12,13.71,19.75
2025-01,15.05,17.33
2025-02,14.97,16.71
2025-03,14.5,15.96
2025-04,14.07,15.58
2025-05,13.74,15.25
2025-06,14.18,15.69
2025-07,14.35,15.86
2025-08,14.05,15.56
2025-09,14.19,16.2
2025-10,14.17,20.17
2025-11,14.61,23.33
2025-12,14.0,23.66
2026-01,14.06,23.65
2026-02,14.27,23.8
2026-03,17.63,27.56
2026-04,18.38,28.45
2026-05,17.82,27.72
2026-06,16.62,25.98
2026-07,16.67,24.84
